Country,ID_Country,Year,Registered Vehicles per 1000
Botswana,BWA,2016,277.7031
Eswatini,SWZ,2016,87.376335
Namibia,NAM,2016,157.02039
Benin,BEN,2017,41.719112
Burkina Faso,BFA,2016,112.52749
Côte d’Ivoire,CIV,2016,37.397835
Ghana,GHA,2017,69.93713
Guinea,GIN,2016,21.76944
Guinea-Bissau,GNB,2016,33.925957
Liberia,LBR,2016,250.4935
Mali,MLI,2016,19.011026
Niger,NER,2015,20.859634
Nigeria,NGA,2017,62.19121
Senegal,SEN,2016,32.60273
Togo,TGO,2016,8.369009
Gambia,GMB,2015,36.666046
Chad,TCD,2016,77.02541
Cameroon,CMR,2016,31.973557
Egypt,EGY,2016,84.30881
Libya,LBY,2016,593.71124
Morocco,MAR,2017,107.99669
Sudan,SDN,2016,31.813868
Tunisia,TUN,2014,172.48491
Ethiopia,ETH,2016,6.7280297
Kenya,KEN,2016,62.21799
Madagascar,MDG,2016,9.536028
Burundi,BDI,2015,9.971322
Mauritius,MUS,2015,392.35834
Zimbabwe,ZWE,2016,81.25387
United Republic of Tanzania,TZA,2016,39.771164
Uganda,UGA,2015,41.162106
Mozambique,MOZ,2016,25.232935
Central African Republic,CAF,2016,7.8093433
Rwanda,RWA,2016,15.098355
United States of America,USA,2016,866.6226
Canada,CAN,2016,669.5322
Venezuela (Bolivarian Republic of),VEN,2016,260.22702
Uruguay,URY,2016,686.05304
Argentina,ARG,2015,495.40784
Paraguay,PRY,2016,298.71704
Ecuador,ECU,2016,118.87994
Colombia,COL,2016,278.74936
Chile,CHL,2016,274.32968
Brazil,BRA,2016,453.77167
Bolivia (Plurinational State of),BOL,2016,151.91357
Peru,PER,2016,180.02856
Panama,PAN,2016,320.03598
Mexico,MEX,2016,334.62927
Honduras,HND,2013,179.10794
Guatemala,GTM,2016,199.50851
El Salvador,SLV,2016,161.27956
Costa Rica,CRI,2016,406.80286
Trinidad and Tobago,TTO,2015,569.65784
Jamaica,JAM,2016,193.14098
Dominican Republic,DOM,2015,366.08932
Cuba,CUB,2015,55.84274
Georgia,GEO,2016,298.7103
Cyprus,CYP,2016,548.1451
Nepal,NPL,2016,84.720795
Sri Lanka,LKA,2016,317.16745
Pakistan,PAK,2017,85.95019
Iraq,IRQ,2016,152.96906
Azerbaijan,AZE,2015,133.37181
Israel,ISR,2016,397.02158
Saudi Arabia,SAU,2017,206.36052
Kuwait,KWT,2016,494.5394
Lebanon,LBN,2012,298.21344
Oman,OMN,2013,311.70715
Qatar,QAT,2015,512.6772
State of Palestine,PSE,2017,59.84126
Syrian Arab Republic,SYR,2015,126.37166
Türkiye,TUR,2016,260.31326
United Arab Emirates,ARE,2016,377.0319
Iran (Islamic Republic of),IRN,2016,359.47028
Jordan,JOR,2016,150.77486
India,IND,2015,158.76378
China,CHN,2016,210.21231
Afghanistan,AFG,2016,20.777798
Bangladesh,BGD,2016,18.02244
Kazakhstan,KAZ,2016,242.44855
Kyrgyzstan,KGZ,2016,167.87871
Tajikistan,TJK,2016,50.424706
Japan,JPN,2016,642.5669
Mongolia,MNG,2016,277.77542
Cambodia,KHM,2015,240.11612
Republic of Korea,KOR,2016,500.50623
Singapore,SGP,2016,163.43565
Philippines,PHL,2016,88.214935
Thailand,THA,2015,528.81616
Malaysia,MYS,2016,875.87256
Lao People's Democratic Republic,LAO,2016,268.45477
Indonesia,IDN,2016,490.35138
Myanmar,MMR,2016,122.037445
Viet Nam,VNM,2016,544.0647
Bosnia and Herzegovina,BIH,2015,281.02075
Portugal,PRT,2015,635.7759
Croatia,HRV,2016,472.5793
Greece,GRC,2016,882.7467
Italy,ITA,2016,874.6303
North Macedonia,MKD,2016,210.13727
Belgium,BEL,2016,647.77094
Slovenia,SVN,2016,702.59564
Spain,ESP,2016,710.43353
Austria,AUT,2017,849.49976
Albania,ALB,2016,195.45071
France,FRA,2015,663.8952
Germany,DEU,2016,687.7325
Netherlands (Kingdom of the),NLD,2016,631.2767
Switzerland,CHE,2016,714.2699
Serbia,SRB,2016,304.5927
United Kingdom of Great Britain and Northern Ireland,GBR,2016,584.69415
Latvia,LVA,2014,411.09213
Norway,NOR,2016,758.05273
Belarus,BLR,2016,431.8444
Bulgaria,BGR,2015,556.41156
Czechia,CZE,2016,696.1163
Hungary,HUN,2016,409.85782
Poland,POL,2015,710.9434
Sweden,SWE,2016,613.1535
Romania,ROU,2016,354.31482
Republic of Moldova,MDA,2016,277.277
Ukraine,UKR,2016,319.69714
Denmark,DNK,2016,548.7563
Estonia,EST,2016,657.3612
Finland,FIN,2016,949.52576
Ireland,IRL,2012,551.6698
Lithuania,LTU,2015,469.52725
Russian Federation,RUS,2016,372.23193
Slovakia,SVK,2016,479.89572
Australia,AUS,2016,757.4169
New Zealand,NZL,2014,783.2543
